,index,sent=positive,sent=negative
0,im,0.006209791109161482,0.000980551176441515
1,go,0.022177824819575517,0.00833468377406411
2,say,0.009758243044809045,0.0058833062415232455
3,never,0.006653347601117428,0.011603187150785264
4,imagine,0.002217782681557973,0.000490275669933342
5,member,2.2177824597797271e-10,0.0006537008387693996
6,nation,0.004213786895359728,0.002287952527129976
7,finest,2.2177824597797271e-10,0.0001634253322612265
8,team,0.010423577782742962,0.001961102189457861
9,already,0.0013306696976460822,0.0011439763452775727
10,late,0.00022177846775621866,0.0006537008387693996
11,begin,0.0013306696976460822,0.0003268505010972842
12,research,0.03260140238054023,0.004575904890834784
13,four,0.00022177846775621866,0.0001634253322612265
14,martyr,0.013306694980456607,0.002614802864802092
15,sick,2.2177824597797271e-10,0.0001634253322612265
16,midst,2.2177824597797271e-10,0.0001634253322612265
17,take,0.005766234617205537,0.0049027552285069
18,little,0.0011088914516681095,0.000490275669933342
19,time,0.011532469012632827,0.006700432085703534
20,however,0.0006653349597121642,0.0006537008387693996
21,put,0.006209791109161482,0.0011439763452775727
22,lot,0.007984017076985263,0.002287952527129976
23,strain,2.2177824597797271e-10,0.0001634253322612265
24,didnt,0.001552447943624055,0.003268503540146323
25,sleep,0.00022177846775621866,0.0006537008387693996
26,night,2.2177824597797271e-10,0.0003268505010972842
27,even,0.006209791109161482,0.006210156579195361
28,talk,0.002883117419491891,0.004085629384326611
29,anyone,0.00199600443558,0.000980551176441515
30,use,0.0044355651413377,0.0037587790466544957
31,publish,2.2177824597797271e-10,0.0006537008387693996
32,video,0.10312688460153556,0.02598460200835834
33,per,0.00022177846775621866,0.0027782280336381498
34,month,0.0008871132056901368,0.004085629384326611
35,week,0.00022177846775621866,0.000490275669933342
36,three,0.00022177846775621866,0.000490275669933342
37,last,0.0024395609275359455,0.002287952527129976
38,segment,2.2177824597797271e-10,0.0003268505010972842
39,post,0.0017742261896020275,0.0008171260076054573
40,today,0.00199600443558,0.0014708266829496879
41,practically,2.2177824597797271e-10,0.0001634253322612265
42,sure,0.0017742261896020275,0.000980551176441515
43,unavailable,2.2177824597797271e-10,0.0001634253322612265
44,almost,0.0011088914516681095,0.0021245273582939186
45,give,0.008205795322963236,0.005393030735015072
46,hope,0.0141938079643685,0.004085629384326611
47,miracle,2.2177824597797271e-10,0.0001634253322612265
48,occur,2.2177824597797271e-10,0.000490275669933342
49,normally,2.2177824597797271e-10,0.0001634253322612265
50,render,2.2177824597797271e-10,0.0001634253322612265
51,,0.04524276240128468,0.036770663151538145
52,minute,0.0006653349597121642,0.0001634253322612265
53,id,0.00044355671373419144,0.0006537008387693996
54,want,0.012197803750566744,0.004739330059670842
55,effort,0.011976025504588771,0.0013074015141136303
56,hop,2.2177824597797271e-10,0.0006537008387693996
57,public,0.002883117419491891,0.0029416532024742073
58,heartfelt,2.2177824597797271e-10,0.0003268505010972842
59,apology,0.00022177846775621866,0.0001634253322612265
60,kudos,0.004879121633293646,0.0008171260076054573
61,sad,0.0017742261896020275,0.005066180397342957
62,also,0.01020179953676499,0.00768098309871988
63,shameful,0.00044355671373419144,0.0001634253322612265
64,ancestor,0.00044355671373419144,0.000490275669933342
65,fought,0.00022177846775621866,0.000490275669933342
66,without,0.0026613391735139185,0.0017976770206218032
67,care,0.00199600443558,0.0014708266829496879
68,life,0.005100899879271619,0.0037587790466544957
69,busy,0.00022177846775621866,0.0001634253322612265
70,shit,0.0008871132056901368,0.000980551176441515
71,seek,0.00022177846775621866,0.0001634253322612265
72,excuse,2.2177824597797271e-10,0.0003268505010972842
73,personal,0.00044355671373419144,0.000980551176441515
74,benefit,0.00022177846775621866,0.0011439763452775727
75,nepalese,0.008205795322963236,0.0037587790466544957
76,owe,2.2177824597797271e-10,0.0003268505010972842
77,beautiful,0.002883117419491891,0.000490275669933342
78,dream,0.0006653349597121642,0.000490275669933342
79,jay,0.006209791109161482,0.002287952527129976
80,nepal,0.059436570143874934,0.04167341821661988
81,much,0.016855146916104173,0.0049027552285069
82,dilute,2.2177824597797271e-10,0.0001634253322612265
83,nepali,0.04391209292541684,0.020101295930260263
84,videos,0.0068751258470954,0.0001634253322612265
85,series,0.01264136024252269,0.0008171260076054573
86,hat,0.016189812178170254,0.000490275669933342
87,presentation,0.0044355651413377,0.0003268505010972842
88,kid,0.0006653349597121642,0.0017976770206218032
89,quite,0.0008871132056901368,0.0008171260076054573
90,bored,2.2177824597797271e-10,0.0001634253322612265
91,study,0.005766234617205537,0.004739330059670842
92,history,0.017076925162082143,0.0016342518517857456
93,lecture,2.2177824597797271e-10,0.0001634253322612265
94,way,0.010867134274698908,0.0058833062415232455
95,explain,0.004657343387315673,0.0011439763452775727
96,felt,0.0017742261896020275,0.0008171260076054573
97,really,0.01752048165403809,0.004739330059670842
98,know,0.01840759463794998,0.008007833436391994
99,indian,0.002883117419491891,0.006373581748031419
100,movie,0.003992008649381755,0.000490275669933342
101,play,0.0017742261896020275,0.000980551176441515
102,hatsoff,0.0011088914516681095,0.0001634253322612265
103,ur,0.005544456371227564,0.0011439763452775727
104,still,0.004657343387315673,0.005556455903851129
105,forget,0.001552447943624055,0.0006537008387693996
106,rip,0.00044355671373419144,0.0013074015141136303
107,sahid,0.005322678125249591,0.0017976770206218032
108,haru,0.008649351814919182,0.02238924829396507
109,usually,2.2177824597797271e-10,0.0001634253322612265
110,dont,0.0093146865528531,0.00898838444940834
111,subscribe,0.0024395609275359455,0.0003268505010972842
112,channel,0.023952050787399298,0.0021245273582939186
113,u,0.022843159557509436,0.00768098309871988
114,get,0.017964038145994034,0.010132360631260745
115,subscription,0.001552447943624055,0.0001634253322612265
116,please,0.020625377097729707,0.008171258605228052
117,continue,0.004213786895359728,0.0006537008387693996
118,happen,0.0044355651413377,0.0021245273582939186
119,next,0.018185816391972007,0.004575904890834784
120,subscriber,0.005544456371227564,0.0003268505010972842
121,would,0.011976025504588771,0.003268503540146323
122,happy,0.004879121633293646,0.000490275669933342
123,see,0.01352847322643458,0.004249054553162669
124,wish,0.0068751258470954,0.0014708266829496879
125,film,0.0008871132056901368,0.0003268505010972842
126,make,0.03836763677596752,0.014381415020998245
127,great,0.050787218550733995,0.0034319287089823805
128,segue,2.2177824597797271e-10,0.0001634253322612265
129,revolution,0.00044355671373419144,0.0014708266829496879
130,afterwards,2.2177824597797271e-10,0.0001634253322612265
131,rana,0.006209791109161482,0.006537006916867476
132,regime,0.0013306696976460822,0.0013074015141136303
133,abolish,0.00044355671373419144,0.0003268505010972842
134,back,0.003104895665469864,0.002614802864802092
135,school,0.01596803393219228,0.020754996605604495
136,information,0.01574625568621431,0.000980551176441515
137,minimal,2.2177824597797271e-10,0.0001634253322612265
138,part,0.03637163256216577,0.008661534111736226
139,fast,0.00199600443558,0.0008171260076054573
140,plz,0.0044355651413377,0.0011439763452775727
141,condolence,2.2177824597797271e-10,0.0001634253322612265
142,jai,0.002883117419491891,0.0011439763452775727
143,ama,2.2177824597797271e-10,0.0003268505010972842
144,yo,0.0068751258470954,0.014871690527506419
145,saput,2.2177824597797271e-10,0.0001634253322612265
146,ko,0.03171428939662834,0.0431442447361444
147,sadhai,0.0006653349597121642,0.000980551176441515
148,naam,0.00044355671373419144,0.0013074015141136303
149,chamkirahoss,2.2177824597797271e-10,0.0001634253322612265
150,combine,2.2177824597797271e-10,0.0001634253322612265
151,upload,0.003104895665469864,0.0006537008387693996
152,single,0.001552447943624055,0.000490275669933342
153,rest,0.00044355671373419144,0.0006537008387693996
154,peace,0.002883117419491891,0.000980551176441515
155,sabailai,0.00022177846775621866,0.000490275669933342
156,tribhuwan,0.00044355671373419144,0.0001634253322612265
157,flee,2.2177824597797271e-10,0.0001634253322612265
158,india,0.004657343387315673,0.00768098309871988
159,event,0.0013306696976460822,0.000490275669933342
160,embassy,2.2177824597797271e-10,0.0003268505010972842
161,ktm,0.00044355671373419144,0.0006537008387693996
162,v,0.0006653349597121642,0.0001634253322612265
163,bir,0.002217782681557973,0.0003268505010972842
164,salam,0.0008871132056901368,0.0003268505010972842
165,shame,2.2177824597797271e-10,0.000490275669933342
166,martyrs,0.0006653349597121642,0.000490275669933342
167,current,0.0006653349597121642,0.000980551176441515
168,youth,0.00199600443558,0.002287952527129976
169,move,0.0011088914516681095,0.000980551176441515
170,abroad,0.0008871132056901368,0.001961102189457861
171,employment,2.2177824597797271e-10,0.0001634253322612265
172,corruption,0.0026613391735139185,0.006046731410359303
173,peak,0.00044355671373419144,0.0001634253322612265
174,political,0.003104895665469864,0.0029416532024742073
175,party,0.0017742261896020275,0.0034319287089823805
176,work,0.035706297824231854,0.003922204215490554
177,people,0.0215124900816416,0.013891139514490072
178,indifferent,2.2177824597797271e-10,0.0001634253322612265
179,government,0.007984017076985263,0.010622636137768917
180,ever,0.002883117419491891,0.002287952527129976
181,sacrifice,0.0024395609275359455,0.000980551176441515
182,lead,0.0008871132056901368,0.0008171260076054573
183,nobody,0.00022177846775621866,0.0006537008387693996
184,notice,0.0006653349597121642,0.0003268505010972842
185,mistake,0.0011088914516681095,0.000490275669933342
186,do,0.005544456371227564,0.002287952527129976
187,overall,0.0006653349597121642,0.0006537008387693996
188,like,0.027056946231090916,0.009805510293588629
189,animation,0.0033266739114478365,0.0001634253322612265
190,become,0.002217782681557973,0.0029416532024742073
191,independent,0.0008871132056901368,0.0006537008387693996
192,rule,0.002217782681557973,0.0027782280336381498
193,hello,0.0024395609275359455,0.0006537008387693996
194,sir,0.014859142702302416,0.003268503540146323
195,end,0.002217782681557973,0.002287952527129976
196,ali,0.002217782681557973,0.0011439763452775727
197,vayo,0.0013306696976460822,0.003922204215490554
198,jasto,0.003992008649381755,0.005556455903851129
199,lagyo,0.0037702304034037824,0.0008171260076054573
200,anyway,0.00022177846775621866,0.0008171260076054573
201,problem,0.0037702304034037824,0.005066180397342957
202,waste,2.2177824597797271e-10,0.0017976770206218032
203,management,2.2177824597797271e-10,0.0006537008387693996
204,downfall,0.00044355671373419144,0.0006537008387693996
205,future,0.007540460585029317,0.0027782280336381498
206,photo,0.00044355671373419144,0.000490275669933342
207,pamphlet,0.00022177846775621866,0.0001634253322612265
208,finally,0.0026613391735139185,0.000490275669933342
209,chapter,2.2177824597797271e-10,0.0003268505010972842
210,ayo,0.00044355671373419144,0.0003268505010972842
211,b,0.00044355671373419144,0.0011439763452775727
212,democracy,0.0011088914516681095,0.0008171260076054573
213,aayo,0.0006653349597121642,0.0006537008387693996
214,ani,0.0035484521574258095,0.010622636137768917
215,tespaxi,0.00022177846775621866,0.0001634253322612265
216,garen,2.2177824597797271e-10,0.0001634253322612265
217,tara,0.0037702304034037824,0.008007833436391994
218,bs,0.00022177846775621866,0.0003268505010972842
219,instability,0.00022177846775621866,0.0003268505010972842
220,barema,0.004213786895359728,0.002451377695966034
221,detail,0.0044355651413377,0.0013074015141136303
222,banaunu,0.005100899879271619,0.002287952527129976
223,na,0.005544456371227564,0.008171258605228052
224,confuse,0.0008871132056901368,0.0001634253322612265
225,able,0.001552447943624055,0.0006537008387693996
226,kill,0.0006653349597121642,0.002287952527129976
227,tanka,0.00022177846775621866,0.0003268505010972842
228,prasad,0.0006653349597121642,0.0006537008387693996
229,acharya,0.00044355671373419144,0.000490275669933342
230,hinduism,2.2177824597797271e-10,0.0001634253322612265
231,brahminhatya,2.2177824597797271e-10,0.0001634253322612265
232,brahmin,0.00022177846775621866,0.0001634253322612265
233,big,0.0093146865528531,0.002451377695966034
234,sin,0.00022177846775621866,0.0001634253322612265
235,hence,2.2177824597797271e-10,0.0001634253322612265
236,devout,2.2177824597797271e-10,0.0001634253322612265
237,hindu,0.0006653349597121642,0.0003268505010972842
238,codify,2.2177824597797271e-10,0.0001634253322612265
239,muluki,2.2177824597797271e-10,0.0003268505010972842
240,death,0.0011088914516681095,0.0016342518517857456
241,penalty,2.2177824597797271e-10,0.0001634253322612265
242,receive,0.00022177846775621866,0.0003268505010972842
243,treatment,0.00044355671373419144,0.0001634253322612265
244,king,0.0017742261896020275,0.000980551176441515
245,change,0.009758243044809045,0.003922204215490554
246,later,0.00022177846775621866,0.0001634253322612265
247,mahendra,0.0008871132056901368,0.0001634253322612265
248,repeal,2.2177824597797271e-10,0.0001634253322612265
249,antidiscrimination,2.2177824597797271e-10,0.0001634253322612265
250,law,0.00044355671373419144,0.0017976770206218032
251,opponent,2.2177824597797271e-10,0.0001634253322612265
252,claim,0.00022177846775621866,0.000490275669933342
253,find,0.0026613391735139185,0.001961102189457861
254,control,0.00044355671373419144,0.0008171260076054573
255,dissent,2.2177824597797271e-10,0.0001634253322612265
256,leader,0.006653347601117428,0.002451377695966034
257,couldnt,0.00044355671373419144,0.0008171260076054573
258,cry,0.00022177846775621866,0.0016342518517857456
259,topic,0.010867134274698908,0.0017976770206218032
260,world,0.0033266739114478365,0.002287952527129976
261,war,0.00199600443558,0.0008171260076054573
262,die,0.00044355671373419144,0.0011439763452775727
263,solder,2.2177824597797271e-10,0.0001634253322612265
264,story,0.013972029718390526,0.002451377695966034
265,wait,0.022621381311531463,0.0008171260076054573
266,black,0.0008871132056901368,0.0014708266829496879
267,feel,0.005322678125249591,0.0027782280336381498
268,thats,0.003104895665469864,0.0021245273582939186
269,inhuman,2.2177824597797271e-10,0.0001634253322612265
270,living,0.00022177846775621866,0.000490275669933342
271,usa,0.001552447943624055,0.002451377695966034
272,voice,0.0033266739114478365,0.0008171260076054573
273,look,0.0026613391735139185,0.003268503540146323
274,ranas,0.00022177846775621866,0.000490275669933342
275,janjati,2.2177824597797271e-10,0.0003268505010972842
276,treat,0.0013306696976460822,0.0013074015141136303
277,inhumanity,2.2177824597797271e-10,0.0001634253322612265
278,wipe,2.2177824597797271e-10,0.0001634253322612265
279,specially,0.00044355671373419144,0.0003268505010972842
