,comments,sentiments,clean_comments
0,Nepal was a leading country in material industries.. its just sad seeing where we have come from then! Political instabillity le desh lai ekdam pachi parya xa.. hopefully good days come.. ️ Keep up the contents bro.,1,nepal lead country material industry sad see come political instabillity le desh lai ekdam pachi parya xa hopefully good day come keep content bro
1,"I never knew we had such a early head start in a garment industry but unfortunately our nation politics killed most of our industry, i just hope we can recover from this anyways thanks a lot for making this video, you are great ",1,never know early head start garment industry unfortunately nation politics kill industry hope recover anyways thanks lot make video great
2,My dad owned a garment factory during that time. Used to feel so proud seeing our products were gonna be worn by foreigners. 500 workers were employed in our factory. But when the industry collapsed it hit all of our homes hard.,1,dad own garment factory time use feel proud see product gonna worn foreigner 500 worker employed factory industry collapse hit home hard
3,"Loved the video bro , you must now be consistent , many of us are too addictive towards your channel that we watch your video many times , Hope you will try to upload video quiet fast 

Keep growing & giving knowledge to us ️",1,love video bro must consistent many u addictive towards channel watch video many time hope try upload video quiet fast keep grow give knowledge u
4,"Was garment industry the only industry in Nepal?What about other industries? 
Wasn't it the Indian geopolitics that destroyed the Nepali industry market by buying out the industries but not running them like  biratnagar jute mill , Gorkhali rubber ? 
Can you cover the video how the Biratnagar jute mill and Gorkhali tires failed ?",1,garment industry industry nepalwhat industry wasnt indian geopolitics destroy nepali industry market buy industry run like biratnagar jute mill gorkhali rubber cover video biratnagar jute mill gorkhali tire fail
5,Disclaimer: this channel is highly addictive ,1,disclaimer channel highly addictive
6,"Even my mom used to work for such garment industry in Biratnagar, but in 2010 AD because of political donations & load shedding they shifted the factory to India",1,even mom use work garment industry biratnagar 2010 ad political donation load shed shift factory india
7,My dream industry since childhood ️,1,dream industry since childhood
8,"Informative as always!!
I do remember two Garment industries at Hattiban, Lalitpur during my childhood days. The roads used to be flooded with crowd of people during office hours.",1,informative always remember two garment industry hattiban lalitpur childhood day road use flooded crowd people office hour
9,What an indepth research and a balanced take. Hats off!,1,indepth research balance take hat
10,Hats off for these types of content to the whole The Nepali Comment Team️,1,hat type content whole nepali comment team
11,We really appreciate your hardwork bro....worthy content,1,really appreciate hardwork broworthy content
12,We used to own hotel near one of those factory where a lot of Nepali and Indian workers used to work … we had steady income during that booming phase later when it hit decline we all had difficulty maintaining income ..,1,use hotel near one factory lot nepali indian worker use work steady income boom phase later hit decline difficulty maintain income
13,This channel has always give a positive message to the Nepalese who doesn't know the history of Nepal 🇳🇵🇳🇵,1,channel always give positive message nepalese doesnt know history nepal
14,"Sir Can you Make a well perfect team to uplode one video per week.
We need more beautiful content from TNC.",1,sir make well perfect team uplode one video per week need beautiful content tnc
15,"Good video. Time has been changed. Our Nepali community in US has increased significantly, we even have few Nepalese in US government. They can definitely support making trade relationships now on.",1,good video time change nepali community u increase significantly even nepalese u government definitely support make trade relationship
16,Hands up for your research ️,1,hand research
17,Yestai similar 1970- late 1980s tira carpet industry ma pani thriving exports hunthiyo re..but due to some scams by skilled senior workers from Darjeeling such as under invoicing etc etc le barbad pareko industry ...bhanera suneko thiye....dherai manche haru government le pakreko ra kati bhageko darjeeling kurseong tira bhanera suneko thiye...please research on this too.... Many people who couldnt be caught fled while many got wrongfully convicted and punished,1,yestai similar 1970 late 1980s tira carpet industry pani thrive export hunthiyo rebut due scam skilled senior worker darjeeling invoice etc etc le barbad pareko industry bhanera suneko thiyedherai manche haru government le pakreko ra kati bhageko darjeeling kurseong tira bhanera suneko thiyeplease research many people couldnt catch flee many get wrongfully convict punish
18,I appreciate your efforts. Thanks for your content which is top-notch.,1,appreciate effort thanks content topnotch
19,Excellent content brother. Keep up the good work.,1,excellent content brother keep good work
20,"You can give some solutions also 
Love your content ️ keep going",1,give solution also love content keep go
21,You have outdone yourself. Great work and outstanding clarity,1,outdone great work outstanding clarity
22,Please continue this kind of deep research. extremely superb!!!,1,please continue kind deep research extremely superb
23,The way of presentation is quite impressive ,1,way presentation quite impressive
24,Always awesome content ,1,always awesome content
25,This channel gonna Rise and Rise️,1,channel gonna rise rise
26,Dipesh Bro Good Going. ️️ Love Your Content. Keep on Uploading Contents Like this  ️️,1,dipesh bro good go love content keep uploading content like
27,"I am addicted to this channel. Everyday, I search and scroll the videos of this channel. When I find no videos are uploaded, I am upset.",1,addict channel everyday search scroll video channel find video uploaded upset
28,My mother shared me story how she used to work in garment bunking college to support family.,1,mother share story use work garment bunk college support family
29,Bro hats off for your hard work for all the contents you create,1,bro hat hard work content create
30,GREAT CONTENT. KEEP IT UP DIPESH.,1,great content keep dipesh
31,This man never dispointed us...,1,man never dispointed u
32,As always informative️,1,always informative
33,This channel is highly addictive,1,channel highly addictive
34,we need more content keep it up bro,1,need content keep bro
35,This channel is growing day by day due to the truth fact,1,channel grow day day due truth fact
36,Subtly informative and new information ️,1,subtly informative new information
37,Your channel is addictive dude,1,channel addictive dude
38,Keep it rolling buddy! ️,1,keep rolling buddy
39,Awesome content ️,1,awesome content
40,Awesome  Keep them coming,1,awesome keep come
41,Make more content like this ,1,make content like
42,Brother mah garment industry ko ho till date .. tapaiko subscriber 42K vaye Dekhi Saab video heriraaxu .. but never expected tapai garment industry ko video banaunu hunxa vanne .. thank you so much .. malai dherei thaha na vaye Pani etti chai thaha thiyo jaba Raja ( king ) hatyo yo chor neta Harle garment industry dwasta pardyo,1,brother mah garment industry ko ho till date tapaiko subscriber 42k vaye dekhi saab video heriraaxu never expect tapai garment industry ko video banaunu hunxa vanne thank much malai dherei thaha na vaye pani etti chai thaha thiyo jaba raja king hatyo yo chor neta harle garment industry dwasta pardyo
43,Awaiting for this ️,1,await
44,Can you do a video about the agriculture sector of Nepal & and its future .,1,video agriculture sector nepal future
45,"Finally, the new video ",1,finally new video
46,Wonderful content.,1,wonderful content
47,"Garment industry is coming back 
But in Nepal the labour cost is so high compared to other countries so high level Export is not possible.

It is based on full filling national demand.",1,garment industry come back nepal labour cost high compare country high level export possible base full fill national demand
48,When i hear background music of 7:00 automatically goosebumps...️,1,hear background music 700 automatically goosebump
49,"Wow your research,content really amazing..",1,wow researchcontent really amazing
50,Many youth dont know or don't care about how we transitted from monarchy to democracy...the story sounds more like a self emolation event!,1,many youth dont know dont care transitted monarchy democracythe story sound like self emolation event
51,"Nepal has almost 1:10 Export Import ratio with India, Nepal is a big market for Indian business house and ever since the eradication of load shedding from Nepal, the new industries has been growing. But due to recent financial liquidity problem and hike interest rate from bank, all the industries are about to collapse. Is this liquidity a new weapon for the destruction of industry in Nepal from foreigners??? Please go through this matter too.",1,nepal almost 110 export import ratio india nepal big market indian business house ever since eradication load shed nepal new industry grow due recent financial liquidity problem hike interest rate bank industry collapse liquidity new weapon destruction industry nepal foreigner please go matter
52,Great content daju ,1,great content daju
53,"I come from Gaindakot, Nawalparasi, where numerous garment industries thrived when I was a child. These industries provided thousands of local people with employment opportunities and enabled them to earn decent wages without having to seek work in Gulf countries. It was common for at least one member of a family to be employed in these factories. It is unfortunate that these factories began shutting down, leading to job losses for many people. The Maoist conflict set the country back by 50 years, which is truly regrettable and unfortunate.",1,come gaindakot nawalparasi numerous garment industry thrive child industry provide thousand local people employment opportunity enable earn decent wage without seek work gulf country common least one member family employ factory unfortunate factory begin shut lead job loss many people maoist conflict set country back 50 year truly regrettable unfortunate
54,"Sir, please make video on tragic downfall of Nepali  old Tele serial ?",1,sir please make video tragic downfall nepali old tele serial
55,Daily video aaune vako vaya jhan ramrilo hunthyo but weekly ni aajai ramro hunthyo  addicted to this channel,1,daily video aaune vako vaya jhan ramrilo hunthyo weekly ni aajai ramro hunthyo addict channel
56,I am addicated towards your channel ,1,addicated towards channel
57,Sir weekly video chaiyo. Full support hamro tarfa bata ,1,sir weekly video chaiyo full support hamro tarfa bata
58,Loved this channel,1,love channel
59,Always love your content,1,always love content
60,"can you also create video on pasmina industry, which was once big

Thanks for the research",1,also create video pasmina industry big thanks research
61,Please add english subtitle ,1,please add english subtitle
62,if possible: Impact of Kabbadi movie in Nepali movie industry,1,possible impact kabbadi movie nepali movie industry
63,Massive loss ,1,massive loss
64,Thank you for the content,1,thank content
65,Perfect content.,1,perfect content
66,Great knowledge shared The Nepali Comment ,1,great knowledge share nepali comment
67,"You've already partially  discussed the end of rana rule aka martyrs 
So please discuss the rise of rana rule in Nepal",1,youve already partially discussed end rana rule aka martyr please discuss rise rana rule nepal
68,The Nepali Comment KO Content is most usedfull  And Unic ,1,nepali comment ko content usedfull unic
69,yes even my fathera had garment used to export but due to bank n lack of government its get shutdown  and more than 100 workers lost their job,1,yes even fathera garment use export due bank n lack government get shutdown 100 worker lose job
70,"A humble suggestions for your channel:
Make a English dubbed version too.... U will hit new heights in Nepali YouTube industry!!!",1,humble suggestion channel make english dub version u hit new height nepali youtube industry
71,"Highly search  and investigation 
Thank you for your information  and this is ammizing",1,highly search investigation thank information ammizing
72,Aarko video chai rise of goldstar garunu sir 🇳🇵🇳🇵🇳🇵,1,aarko video chai rise goldstar garunu sir
73,Love the content,1,love content
74,"At the same time China started booming, big reasons is we are not only landlocked we are blocked ",1,time china start boom big reason landlocked block
75,"Bangladesh took a huge leap forward because of garments industry, and our country thought garment isn't a real industry!  Buddhi hera bhagwan!",1,bangladesh take huge leap forward garment industry country think garment isnt real industry buddhi hera bhagwan
76,What a research brother🇳🇵🇳🇵🇳🇵🇳🇵,1,research brother
77,Neta harulai dhanyabaad diu garment industry lai khattam parnema.,1,neta harulai dhanyabaad diu garment industry lai khattam parnema
78,Amazing video. Graet content,1,amaze video graet content
79,Keep going ,1,keep go
80,Daily I'm waiting for your Video ️,1,daily im wait video
81,Thanks for video ,1,thanks video
82,Waiting ️,1,wait
