,comments,sentiments,clean_comments
0,I myself played cricket from grade 5 to 9 passionately but after realizing that cricket won't feed my family in future I left playing and it was such a sad decision  for me to do that. I knew dark secrets of  Nepal cricket during that period . It's been 3-4 years and I really miss it.,0,play cricket grade 5 9 passionately realize cricket wont fee family future leave play sad decision know dark secret nepal cricket period 34 year really miss
1,"Love your content bro, Corruption have had destroyed our country development and economy as well as many sectors; you are trying to show us corrupted systems of each sectors from various videos, kudos to you  ",1,love content bro corruption destroy country development economy well many sector try show u corrupted system sector various video kudos
2,Corruption has ruined our country and you are doing good work by exposing them,0,corruption ruin country good work expose
3,The effort you’re putting to research everything about your content is COMMENDABLE!,1,effort you re put research everything content commendable
4,"My question is, are you not getting any kind of response from people of whom you make videos or the topic? The research behind your work Is absolutely courageous and I wish, you will uncover so many topics that we are blind on for ages.",1,question get kind response people make videos topic research behind work absolutely courageous wish uncover many topic blind age
5,"This man is tooo good. Level of dedication 
Now Nepal needs a geopolitical channel like bharat dahal with these level of voices .",1,man tooo good level dedication nepal need geopolitical channel like bharat dahal level voice
6,"well researched video , never seen any nepali youtuber doing this . keep grinding brother love from Darjeeling",1,well research video never see nepali youtuber keep grind brother love darjeeling
7,Not only  football  but Nepal  whole  country  is ruined  by corruption  by politicians  and bureaucracy. Corruption is cancer  for developing country,1,football nepal whole country ruin corruption politician bureaucracy corruption cancer develop country
8,The quality content in this whole YouTube ️,1,quality content whole youtube
9,I always used to be angry and blame on players when Nepal lose any sports. But from now on will never be.,0,always use angry blame player nepal lose sport never
10,"dedication n effort 
you put to make this videos are amazing ,happy to see quality content n proper research , keep up the good work .",1,dedication n effort put make video amaze happy see quality content n proper research keep good work
11,There are many talented players in Nepal football community 🇳🇵They all need our support ,1,many talented player nepal football community they need support
12,"Not just nepali football, but the whole Nepal",1,nepali football whole nepal
13,"""When you stop chasing the wrong things, you give the right things a chance to catch you."" --Lolly Daskal",0,stop chasing wrong thing give right thing chance catch lolly daskal
14,This is my favourite Nepali channel. Hats off to the content and the case studies.,1,favourite nepali channel hat content case study
15,"I was trying to link  the ANFA corruption and FIFA corruption after watching Netflix docuseries and this clearly shows that, thank you for the video.",1,try link anfa corruption fifa corruption watch netflix docuseries clearly show thank video
16,The Research you put into any topic for video is really commendable.  Keep growing!,1,research put topic video really commendable keep growing
17,Corruption is the Main issues in Nepal 🇳🇵🇳🇵,0,corruption main issue nepal
18,"the research your team has done was appericated and your videos will  be milestone to know about nepalese football history 
About ANFA

About Ganesh Thapa as a player, as an Anfa President and what kind of personality he carried and at last about corruption 

About Goal project

which fund was used to develop infrastructure? 

why nepal football see ups and downs in short period of time?

How politics and corruption ruined our football?
 
@thenepalicomment your videos will have big impact in neplese football in coming days ️",0,research team do appericated videos milestone know nepalese football history anfa ganesh thapa player anfa president kind personality carry last corruption goal project fund use develop infrastructure nepal football see ups down short period time politics corruption ruin football thenepalicomment video big impact neplese football come day
19,"A true content creator ️

Huge respect ️",1,true content creator huge respect
20,In these floods of nepalese content creators  u r one of the few whose content is genuine informative  in meaningful keep up the good work bhai n hope ur channel will do grow even more all the best,1,flood nepalese content creator u r one whose content genuine informative meaningful keep good work bhai n hope ur channel grow even best
21,"Bro I found your channel just today. Your video content is just amazing bro. Make a video on why Graham Roberts left our country if you have time. I heard he was forced to leave, by many including the coaches from Tribhuvan Army Club.",1,bro find channel today video content amaze bro make video graham robert leave country time heard force leave many include coach tribhuvan army club
