,comments,sentiments,clean_comments
0,"What I'm going to say is that I never imagined myself as a member of the nation's finest team. We were already late when we began researching our four Martyrs. Because I was sick in the midst, I had to take a little more time to research. However, it put a lot of strain on the other members. They didn't sleep at night and didn't even talk with anyone.  We used to publish four videos per month, but this week we published three. The last segment that we posted today was practically sure to be unavailable today. We had almost given up hope. However, a miracle occurred. Normally, the render takes 90-120 minutes, however today it took only 45 minutes. I'd want to salute my team for their effort. I'm hoping for public support because the team has worked hard on this.",0,im go say never imagine member nation finest team already late begin research four martyr sick midst take little time research however put lot strain member didnt sleep night didnt even talk anyone use publish four video per month week publish three last segment post today practically sure unavailable today almost give hope however miracle occur normally render take 90120 minute however today take 45 minute id want team effort im hop public
1,Please continue this series. What happened after that? How did rana collapse. We love this series. Please continue this.,1,please continue series happen rana collapse love series please continue
2,"Would love to see more of our history's video, brother! I hugely respect you and your team's  effort for making such an interesting and informed videos on our great martyrs ",1,would love see historys video brother hugely respect team effort make interesting informed video great martyr
3,They will never be forgotten. Salute to our martyrs.,1,never forget salute martyr
4,"The level of editing , animation , voice, research everything is perfect outstanding. Thanks to whole team and Huge respect to our martrys.......LIVE LONG NEPAL",1,level edit animation voice research everything perfect outstanding thanks whole team huge respect martryslive long nepal
5,Never felt goosebumps while watching YouTube videos before now,1,never felt goosebump watch youtube video
6,"Heartfelt apologies to all the Martyrs. 
And kudos to the team for great research.",0,heartfelt apology martyr kudos team research
7,"It's Sad and also shameful at the same time, Our Ancestors fought for the nation without caring about their lives but we here are busy talking shits, seeking excuses, seeking personal benefits. We all Nepalese owe them a beautiful nation which they had dreamed of 
Jay Nepal 🇳🇵",0,sad also shameful time ancestor fought nation without care life busy talk shit seek excuse seek personal benefit nepalese owe beautiful nation dream jay nepal
8,Such a brave story of Martyrs....forever heroes of Nepal,1,brave story martyrsforever hero nepal
9,"It was a great series thank you for  showing our history and educating us and The Nepali comment presented so well in order hope to see same content in common days good team work.
It is the cause,not the death,that makes the Martyrs. We will be forever grateful for what you have done for this country 
Salute to our Martyrs who sacrifice themselves for this land and country.
Jay Nepal 🇳🇵",1,great series thank show history educate u nepali comment present well order hope see content common day good team work causenot deaththat make martyr forever grateful do country salute martyr sacrifice land country jay nepal
10,Never been so much diluted in Nepali videos until this series. Hats off to your research and presentation team! ,0,never much dilute nepali videos series hat research presentation team
11,Greatest Series of all time. Really enjoyed this. Your and your team's hard work has paid off !,1,great series time really enjoyed team hard work pay
12,Hats off to you and your team for making this wonderful series on Martyrs. They deserved to be appreciated and people should know their contribution. More hate to the cruelty of Rana.,1,hat team make wonderful series martyr deserve appreciated people know contribution hate cruelty rana
13,"I had goosebumps all time watching this last part !!!
Keep up the Great work Nepali Comment Team !
We are expecting Great things ahead !
At last 
Bir Shahid Amar Rahos !",1,goosebump time watch last part keep great work nepali comment team expect great thing ahead last bir shahid amar rahos
14,"Great series, i would love to watch more content about some of the most significant moments in Nepal's history similar to this. Keep it up!",1,great series would love watch content significant moment nepal history similar keep
15,Your explanation about our history is very appreciatable and anyone can easily understand.🇳🇵️,1,explanation history appreciatable anyone easily understand
16,Really...hats off to all the team who collected all the data and records which are century old and presenting us a history in such a tasty manner.....love the channel and the contents it has made so far....,1,reallyhats team collect data record century old present u history tasty mannerlove channel content make far
17,4 played the biggest role in history of Nepal. Hats off to this well defined series,1,4 played big role history nepal hat well define series
18,"This is why cable TV is dying, when you have creators like 'The Nepali Comment' who create professional amazing documentaries like this. Keep up the fantastic work.",1,cable tv die creator like nepali comment create professional amazing documentary like keep fantastic work
19,"This channel is Providing more knowledge and information about our ancestors of Nepal then ever, that a social study book can't provide.",1,channel provide knowledge information ancestor nepal ever social study book cant provide
20,"Thank you for the important information ️Now its our duty to spread the bravery of our Martyr's Story to our next generation ️
We will never forget the dedication and the contribution of our Martyr's ️",1,thank important information now duty spread bravery martyr story next generation never forget dedication contribution martyr
21,"Another great video series from The Nepali Comment. 
Research was already top. Quite refreshing to see huge leaps in the animations as well. ",1,another great video series nepali comment research already top quite refresh see huge leap animation well
22,"Such fine work, team. The suspense, the research, animations, colour tone of the video very commendable.",1,fine work team suspense research animation colour tone video commendable
23,We all should appreciate his work he is working hard,1,appreciate work work hard
24,"Thank you to the entire team for their effort in bringing this 3 part series to life. You all helped deliver an important part of our history which was untold before, or unknown to wider Populus. 

In the future, I think the viewers will love such content from your team. Keep going, you guys will reach new heights....",1,thank entire team effort bring 3 part series life help deliver important part history untold unknown wider populus future think viewer love content team keep go guy reach new height
25,Handsoff to our country heroes ,1,handsoff country hero
26,"Hands down to your research, video editing and so on guys ",1,hand research video edit guy
27,"We shouldn’t forget what our martyrs did for us 
To save whole nation from cruel rules  love your efforts we want more videos related to history",1,forget martyr u save whole nation rule love effort want video related history
28,huge respect for our heroes ️,1,huge respect hero
29,You have an indepth research to bring this forward to us. Kudos to you. You really are the face of quality content.,1,indepth research bring forward u kudos really face quality content
30,thanks a lot brother and your team for bringing up this wonderful content. keep consistently creating about our history .. bir sahid amar rahun... these guys are the reason behind our freedom right now... kudos to all freedom fighters who kept stake of their life for democracy,1,thanks lot brother team bring wonderful content keep consistently create history bir sahid amar rahun guy reason behind freedom right kudos freedom fighter keep stake life democracy
31,"You never fail to amaze us with your amazing contents. Keep going. Keep rocking. Very happy to be one of your subscribers And, a big clap to your entire team.",1,amaze u amaze content keep go keep rock happy one subscriber big clap entire team
32,My grandfather’s elder brother (Hari bahadur khadgi) was also killed during this revolution.dont know the fact but it is said he also got death sentence along with the four martyrs but he was killed inside the prison before his punishment..,1,grandfather s elder brother hari bahadur khadgi also kill revolutiondont know fact say also get death sentence along four martyr kill inside prison punishment
33,Hats off to you bro. Thank you for the well-described information about the great martyrs.,1,hat bro thank welldescribed information great martyr
34,"Got goosebumps just thinking about their bravery. Tei ragat ko aile ko hami Nepali haru k vako ho, desh mathi ko anyaya herera basya xam. ",1,get goosebump think bravery tei ragat ko aile ko hami nepali haru k vako ho desh mathi ko anyaya herera basya xam
35,Huge respect to all martyrs of nepal,1,huge respect martyr nepal
36,Great Salute to Our Martyrs ️️,1,great salute martyr
37,"By telling the history you create the history 
thanks for your hard work for us",1,tell history create history thanks hard work u
38,This should be made as documentary film ...  Thank you so much for this video sir,1,make documentary film thank much video sir
39,"Aaba film industry's le ta kei garna sakena tara nepali comment huge respect️to the team i have really feel like warching Profesnal webseries
Please continue this series like season 2 cause wea re very curious to know that what happen next️️",1,aaba film industry le ta kei garna sakena tara nepali comment huge respect to team really feel like warching profesnal webseries please continue series like season 2 cause wea curious know happen next
40,Proud to be a citizen of this country ️,1,proud citizen country
41,Great work bro... Felt so bad for our martyrs,1,great work bro felt bad martyr
42,Hatsoff to those heroes!!🇳🇵,1,hatsoff hero
43,"Wonderful video brother and your team
I really don't study this topic in my school. Thank you very much for this valuable information about our great martyrs.",1,wonderful video brother team really dont study topic school thank much valuable information great martyr
44,Keep creating content like this appreciation for your whole team,1,keep create content like this appreciation whole team
45,Salute and Long Life to the young Braveheart’s and Shahids of this land. This country may be not what the shahids imagined it to be. But they liberated this country and we thank them for their sacrifice.,1,salute long life young braveheart s shahids land country may shahids imagined liberated country thank sacrifice
46,Greatest infotainment series in Nepalese broadcast history. Best wishes and appreciations from Germany!,1,great infotainment series nepalese broadcast history best wish appreciation germany
47,rest in peace to legend Martyrs,1,rest peace legend martyr
48,"when I was kid ,I used to be quite bored studying history lecture but from the way you explain it felt quite interesting now .",0,kid use quite bored study history lecture way explain felt
49,I just felt proud that I want born in the country of martyrs,1,felt proud want born country martyr
50,This is great I feel very inspired by our martyrs,1,great feel inspire martyr
51,I've been looking for a you tuber that researches and fact checks on the topic on Nepali topics!! Keep up the good work bruh ,1,ive look tuber research fact check topic nepali topic keep good work bruh
52,its really sad that we know more about indian martyrs from movies and plays than nepali martyrs... #hatsoff for ur video,0,really sad know indian martyr movie play nepali martyr hatsoff ur video
53,Nowadays we lack this kind of people in Nepal. Salute to all the martyrs,1,nowadays lack kind people nepal salute martyr
54,"Thank u so much for this video.we didnt have read this history in school Because these content are not in book why i dont know You deserve  millions of subscribe.In next video plz explain about the first public protest of 2007 establishment of democracy,Establish of congress and communist,The rise of B .p koirala",1,thank u much videowe didnt read history school content book dont know deserve million subscribein next video plz explain first public protest 2007 establishment democracyestablish congress communistthe rise b p koirala
55,"please continue, i learned a lot about our history though this. Thank you for making such an amazing video.",1,please continue learn lot history though thank make amazing video
56,"Beautifully presented
Hope to see quality content as this all the time",1,beautifully present hope see quality content time
57,History Books what? Our Brother Dipesh Tripathi is the best teacher we could ever have. ️️Thank you for such a great content in this filthy business of content creation.,1,history book brother dipesh tripathi best teacher could ever thank great content filthy business content creation
58,Rip all those legends️,1,rip legend
59,And again thank you for making this video. We really appreciate your research and work. Just make sure it's all history based on facts.coz people have started trusting you.,1,thank make video really appreciate research work make sure history base factscoz people start trust
60,Masterpiece ️ just loved your hard work,1,masterpiece love hard work
61,Thank you so much for the in-depth insight TNC. Hats off to your effort.,1,thank much indepth insight tnc hat effort
62,Please continue this series ️,1,please continue series
63,Most appreciated your work. Keep it up.,1,appreciate work keep
64,Thank you for this series ️,1,thank series
65,i  want  to  read  the  pamphlet please provide  it in a  link. such  a great  video ️,1,want read pamphlet please provide link great video
66,A whole new series on rana rise and fall is what I wanna see next in this channel,1,whole new series rana rise fall wanna see next channel
67,Salute to every Martyrs ,1,salute every martyr
68,Thank you very much for a lot of additional information we are never taught in school.,1,thank much lot additional information never teach school
69,hats off for entire team for this tremendous information...,1,hat entire team tremendous information
70,really appreciate your effort,1,really appreciate effort
