,comments,sentiments,clean_comments
0,that jinx rocket was just slightly more unexpected than my son,0,jinx rocket slightly unexpected son
1,this was so crazy seeing it live in the arena,1,crazy see live arena
2,he said na but both are korean,1,say na korean
3,IWD screaming when the rocket hit sounded like Tom screaming when jerry slams him with the cartoon powers,1,iwd scream rocket hit sound like tom scream jerry slam cartoon power
4,Funny thing is that they’re not even from NA,1,funny thing they re not even na
5,i thought emenes and gori were the same person,1,think emenes gori person
6,"but Arhi got everfrost? , up by 1 mythic item",1,arhi get everfrost 1 mythic item
7,Korean 1v1 just to die to korean ad,1,korean 1v1 die korean ad
8,arent both players imports? xdddd,1,arent player import xdddd
9,ANDDDDDDDDD both of them are Koreans :D,1,anddddddddd korean
10,NA ICANT,0,na icant
11,title too good,1,title good
12,NA KEKW,0,na kekw
13,THIS TITLE THO,0,title tho
14,The real point of this clip is how fkin shit is Ahri btw... Giga outplays and still woulda lost if not for the Rocket. Mythic + Boots v Boots + Blasting wand...,1,real point clip fkin shit ahri btw giga outplays still woulda lose not rocket mythic boot v boot blast wand
15,So basically koreans,1,basically korean
16,Good title,1,good title
17,Fallaron el 80 % xD,1,fallaron el 80 xd
18,They missed everything. Just play Heimerdinger vs Malzahar next time,1,miss everything play heimerdinger v malzahar next time
