,comments,sentiments
0,Thank you everyone for such a great response. Just wanted to say that the English subtitles are available now.,1
1,"I arguably think that our country got way backward due to the Ranas. We can't even imagine what common people had faced at that time. And to stop that autocratic rule what our martyrs did are truly unreal.
Thank you for bringing us #Sahid haru ko katha
Uni haruko balidan kahile birsinexainau",1
2,"I had never thought the real story of the same martyrs that we studied back in school was this interesting. I don't know how much you had to dig for the all the information you provided in this video, but I definitely feel like this video shows that you can make a whole series that highlight countless other topics otherwise relegated to the pages of dusty old history books no one cares to turn anymore. To me at least, it's always felt like the events and people of the past, the stories  we read in our social studies and history textbooks are but bygone tales in black and white with little to no relevance in the present day.
With so much western history adapted into numerous movies, TV series and informative animations, I had always wondered whether the dearth of such materials online in the case of Nepal was due genuinely to the unavailability of written records of our history, but through emerging channels like yours, I am beginning to think that we do, as a country, have enough information to produce massively consumable video content that has the potential to serve the public memory well. As time proves over and over, we are a people that could use some historical memory.
Great content! And your effort shows, we do notice the minor details as well, details that you could so easily have omitted without much to lose. Keep up the good work guys.",1
3,Thanks Martyrs may making Nepal to this stage .,1
4,"Hug respect to Martyrs.
This kind of content should be made frequently so that we could get knowledge ️",1
5,Salute from the bottom of my heart to those legendary and brave Marty's,1
6,"Imagine we had a well made series about Prithivi Narayan Shah's unification campaign or the onset and demise of the Rana regime. When we had to study them during 8th and 9th grade, we weren't interested at all cause what 13 year old would be, but now after finishing high school, it's so fascinating learning about how our country had its own Game of Thrones type of political intrigue and drama mixed together with strategic battles and scheming, murderous plots.

I mean reading about them is certainly more interesting than knowing the current political situation, at least for me.",1
7,"Man was born free
And he is everywhere in chains",1
8,"Takes great research to make these kind of contents.  Another great video from The Nepali Comment. 
Quite refreshing to see great animations as well. ",1
9,"Dai, It would be awesome if you keep on posting history videos related to we student's curriculum. It will be easier for all us pupils to learn through visualization.! Keep on doing the work!",1
10,"Our Martyrs scarifised themselves for the sake of this nations future and now its our turn to take the responsibility of our country and transform it into a better place.
Jay Nepal!!!",1
11,"Thank you for this amazing video ! 

Wonderful storytelling ",1
12,"Extremely grateful to the depth you went to uncover the details. Facts can be, at times, stranger than fiction but your narrative & video content is simply mesmerizing. Hats off ! Keep doing what you are doing.",1
13,Absolutely incredible. We need further initiatives in these lines to get us more  familiar and closer to our past. waiting for the next part !!,1
14,There is nothing either good or bad but thinking makes it so ️,1
15,Your content is very informative and entertaining .The editing is beyond anything in nepali YouTube. Just keep on pushing You have a lot of potential.,1
16,"A very interesting content that you've started, I'll give you that. I'm thrilled to be watching this and equally curious how this all unfolded. Eagerly waiting for the next part. Keep up the good work sir.",1
17,"Thank you for such a content, the youth need to know the history of Nepal beyond the text book",1
18,Your videos are always so informative & educational. Thank you bro for taking time to research & create such awesome contents. Tm ra tmro team 100 percent best content creator haru hau nepal ko. Thank you for your work and dedication. Jay Nepal 🇳🇵 🫡,1
19,"Hats off my brother, you have done great job enlightening new gen with Nepali History!",1
20,I love watching History... waiting for part 2 ️️,1
21,This man deserve more support ️️,1
22,I want this type of content from this channel. A lot more  content about our history.,1
23,Thanks to all those martyrs who fought for us for our freedom sacrifying themself...Big SALUTE to them️️️️️,1
24,"Love the way you illustrated the history 🇳🇵
Thankyou so much for putting much effort in research and  attractive video making  best wishes Mitra",1
25,The way you explain and animate video it helps to recognize them very easily  you are awesome brother ️,1
26,This guy is true inspiration for young generation .,1
27,These videos will ignite a small spark of lost nationalism among nepalese youth. Thanks for not letting their true stories be forgotten.,1
28,being at 20s their stories are more interesting and understandable feels what that they have done in our history. Thank you for reminding and making interesting way to present our history,1
29,Thank for sharing  this story brother really appreciated,1
30,Great work man truly appreciate your work and effort. Thank you for your content,1
31,Thank you for your well researched video and good topic selection.,1
32,Dai I am a college student and recently migrated to ktm I have to walk on foot in the early morning on the street of ktm and I have always fear of being attacked by stray dogs .i want u to make a video on this crisis which  no one talks about hopefully u would take my words into account such that the responsible authority would take action. #timeforchange,1
33,Sir your content is always on to the point ️,1
34,Omg! I got goosebumps hearing all these!!️,1
35,Brilliantly put together. Really appreciate the time and effort you put in your videos. Looking forward to the next part. ,1
36,What a coincidence mate. Actually I have always praised your hard work and was patiently waiting for this video. Yesterday I found it but couldn't watch it because I slept. Now I am watching this video after one of the martyrs has just sacrifice himself for the nation by putting fire on him. RIP,1
37,"Those animation parts were very helpful and engaging. 
Waiting for part 2.",1
38,Cheers  to the people aside from Nepali bhedaa janta who are serious about our country,1
39,Absolutely needed when the sacrifices were going unheard and present way of life in Nepal is being taken for granted,1
40,"Thank you for the research and video. it's especially good for the new generation that can educate about our history.
I support this channel.",1
41,Your explanation and video animation is amazing ️‍,1
42,Kudos to the team for relaying this information with amazing presentation..respect,1
43,Great video. Even mobile addicted children can get information about history & martyrs. Keep up the good work,1
44,You are lightning  a change brother Expecting a lot from you,1
45,Thank you so much for providing such a deep information about our Great Martyrs..,1
46,Editor did his part very well. Script is amazing as always.,1
47,Only channel were I get the brief knowledge about our history🇳🇵 Desperately waiting for further parts ,1
48,I just love history I just want to listen history and love to do investigations on it . I start to imagine. Keep positing such videos it give a another level of vibes ,1
49,thank for information sir. most of us don't know our own history but other countries. This info will help us alot.,1
50,Wow! you did a great job. Love to listen more and share with my young friends.,1
51,A story that I've wanted to hear for a long time! eagerly waiting for the other parts...,1
52,Hello brother. can you make a video about Prem Prasad Acharya..i think his life journey and experiences are worth the effort for a video. We can learn so much from his success and failures in life and it also brings forth in light the corrupt government of nepal and also the system of lies and deception that is rampant in every aspect of the nepali business practices..,1
53,"Can you provide source for the claim that Tribhuvan conspired to kill Juddha Shumsher?
Because Tribhuvan is known as quite a passive king and I had never heard of this incident .",1
54,"Next level video...
We can clearly see your hard work",1
55,Thank you for making this video. Very informative and necessary at the present moment.,1
56,wow video is really interesting while learning about the history of our country. True brave people who are almost forgotten in today's time. We really are really ignorant of the sacrifice and bravery of these people,1
57,"I think we should not forget about ""Lakhan Singh Thapa Magar"" the first martyr of Nepal",1
58,"My great grandfather used to write against Rana regime in his days..As a result our family got exiled from Nepal and had to hefty amount of silver and gold and our lands got evicted by the regime.. We lost everything back then..
But I am proud my Great grandfather stood up to them..",1
59,"Kudos To You Brother ️.
Such a great Video as the  martyrs are️.",1
60,"Great video brother
Your researches are amazing️",1
61,"Great content...but more than that the quality of the video is absolutely good.
Really proud of The Nepali Comment.
Can't wait for more.",1
62,Great content.. thank you for all these informations .. how do you do your research ? Books ? Videos ?,1
63,Excellent information ; keep it up brother ..and best wishes .,1
64,Everything started with the first martyr of Nepal Lakhan Thapa who stepped first against Rana’s,1
65,Goosebumps bro. Keep up the good work.,1
66,"Nepal is a great nation, unfortunately, the downfall of the youth in regards to women being promiscuous and men being unambitious is taking place as we speak. The worst is yet to come. Jai Nepal🇳🇵️‍",1
67,"Thanks for those Marty who contributed there life for our freedom ️.
2 part kaile auxa",1
68,"Can we have a video on people like prem Acharya ,who work so hard to provide for their family and nation  but unfortunately",1
69,Inspirational and thrilling. Waiting fro next part.,1
70,Waiting for side 2 patiently ,1
71,सहिदहरु र परिवार जन मा हामी नेपाली को हार्धिक नमन||️️️,1
72,"I was saying about your content was best all over Nepal when your subscriber were around 31k and now im saying you are the best
Thank you The Nepali Comments ",1
73,"amazing work, this is more understandable  history education then school textbook. Wish If  Traditional Education System gets Replace with this kind of modern learning  way.",1
74,Afno deshko esto in-depth knowledge haru interesting wayma present garnu huncha. Thank you so much. All the best ,1
75,Top-notch content. A video on royal massacre within the next 2 to 3 videos please,1
76,Great information waiting for next part,1
77,We need part 2 asap,1
78,The best channel in Nepal 🇳🇵️ keep it up bruh  . Best of luck ahead ,1
79,waiting for part 2 ,1
80,"Great presentation! I hope this series will include martyr's of all regions and ethnicity impacting mainstream politics like C. Durgananda, the first Republican Martyr",1
81,Thank you for the historical information️keep going,1
82,nepali comment doing good these days .cant wait for the part 2 . do upload fast as i am curious to know the further stories.,1
83," I am impressed. 
Thank you for your hard work",1
84,Waiting for part-ll..Please upload as soon as possible,1
85,Waiting for part 2 keep it up ️️,1
86,Thank you for making this video !,1
87,Waiting for part 2 ,1
88,You are my reason brother why I watch YouTube everyday....️️️,1
89,"We need more selfless people like these feri we need a revolution against this so called democracy which is not really a democracy we have been lied to our votes yes does count but only for those three higherups , we need to change this JAI NEPAL",1
90,Thanks for Making People aware About our heroes,1
91,Such engaging video massive respect to oue martyrs.,1
92,"Good initiative brother . it's like watching movie ""chnadra shekar "". waiting for next one.",1
93,Do a story on how the earlier Muluki Ain mandated varying types of punishment on the basis of caste.,1
94,Keep Going guys...tell people the cruelty of all the despotic rulers.,1
95,Waiting for the next part ,1
96,"Probably the most informative , entertaining and best youtube channel in nepal right now",1
97,Very informative and interesting.....thanks for your effort,1
98,"Great video, eagerly waiting for the next part.",1
99,Desperately waiting for part 2,1
100,"Great video bro keep it up 
Your content is very good",1
101,Waiting part -2 keep it up bro ,1
102,"The best nepali youtube channel for me ,i can learn ,i can feel ,i can visaulaize....",1
103,waiting for next part ,1
104,Thank you sir for such useful information,1
105,Great work . Good story . Waiting for next part  .,1
106,You should have added entire complete story.,1
107,Thanks for this untold story brave our hero Jay nepal,1
108,Waiting for the next part eagerly ,1
109,Part 2 please ,1
110,Another layer of history. Thanks!,1
111,Great Job. Congratulations on upcoming more projects.,1
112,Eagerly waiting for the second part️️🇳🇵,1
113,Hoping to see next part on Magh 16 ,1
114,Eagerly waiting for part2,1
115,"Good work, kudos !",1
116,I love history ,1
117,Jay Nepal ️️,1
118,One of the most trusted channel of Nepal️,1
119,We want part 2 as fast as possible,1
120,Can't wait for part 2,1
121,Eagerly waiting for the next part.,1
122,"very nice content 
thankyou #martyrs of nepal",1
123,Man!This is exactly what we needed thankss,1
124,Your content is just wow ️,1
125,Eagerly waiting for next part,1
126,Awesome work!!,1
127,"Whoever is reading this comment , Please lit the candle for inner peace of their heavenly soul ️ on magh 16.",1
128,Thanks to these Great Martyrs contribution,1
129,Please make a video on Rabi lamichanne case ️,1
130,This is some quality content with awesome presentation I don't know why people love watching some guy laughing horrendously rather than this..,1
131,"School ma social study ma hamro past/history ko barema padhauda kheri,yo series chai dekhaunai parne ho jasto feel vayoa malai chai ekdum.
Thank you for bringing out and enlighten us",1
132,"nepal ko histroy ko baremah yesare video haru nai xoina, nice work, living in united states  we don't get to explore detail history of Nepal. We need more of these historical videos in youtube",1
133,Thank you for making these videos ,1
134,"Brother you should make video about @CTEVT jasley hami students haru jindagi uthalputhal garaideyko xa nata time ma  result nata  time ma exam  hunxa. I suggested upcomming students after SEE , uniharuley jukeyra pani CTEVT course join nagaros. Yesma fasney vaneykai hami jasto garib ko baccha haru hun jasley dherai expectation  rakheyrw CTEVT  join gateyka hunxan. Plz ",1
135,"In the end both Shahs and Ranas benefitted to great degrees from the system of autocracy and feudalism.
For the Shahs,Opposition to the Ranas was more of a power thing than something for the benefit of the people.",1
136,thank you for the awesome content,1
137,need more videos researched history,1
138,You are doing exceptionally well man,1
139,Eagerly waiting for part 2. ,1
140,Current best nepali content loved it,1
141,His content and concept.,1
142,"Maya Cha Dai️
English Subtitles Ni Use Garnu International Audience Tanna Sajilo Hunxa! ️",1
143,Thank you dai next series ko lagi curious xu hernu lae  and big thanks to our martyrs ️️,1
144,Magh 16 samma ta series sakkauna paye hunthyo. Thanks for your information about their real life story.,1
145,Feels like an movie ,1
146,great to knoww  more about our country keep up the good work,1
147,Part 2 when are you going to upload I can't wait .,1
148,this gonna be best series ever,1
149,"movie here jasto lagdo richa kaan ma headphone, background music and silent environment .... most importantly the contents,  your  in-depth research and the way you narrate...... kati part cha jamma .....eagerly waiting......",1
150,So well made great job,1
151,Waiting next part ️,1
152,Forever love and support for the nepali comment.,1
153,Love from nepal to ur greatest channal and qish for grow 1M subscriber soon . This is really great channal to learn and my fav subject history ..um wow thank u dear sir,1
154,waiting for part 2,1
155,Our martyrs would be sad seeing the condition of todays nepal for which they sacrificed their life,1
156,waiting for next part,1
157,"Bro please make video on origin of Nepal   
From The time of gopal dynasty ️️",1
158,Waiting for next part.,1
159,Really nice video! but Please cite your references... Where did you get this information?,1
160,"Bro ko kunai Pani story halnu aagade ko research raa dedication damn bro great work ️
Hat's off to the man ",1
161,story telling is great !,1
162,great content!!!,1
163,The History ,1
164,Eagerly waiting for part 2,1
165,Keep it up ️️,1
166,Thank you for such effort,1
167,Sabai le share garam  hai ️️️ Everyone should know  about  our martyr's,1
168,Really inspirational channel for small creator such as me ,1
169,We need part 2 !!!!!!!,1
170,I just hate some young generation who just watch other non profitable people's life's vlog . Instead of that I prefer your videos. I just love you Love you and love you,1
171,I want next series as soon as possible,1
172,Waiting for next part ️,1
173,Eagerly Waiting for part two,1
174,Wonderful ,1
175,They are real hero ,1
176,Waiting for part-2,1
177,Keep up the contents daju.. ️,1
178,,1
179,"Just one of the top teir content for me, can't wait for part 2",1
180,love it!!,1
181,Good content ,1
182,The untold story about martyrs is that they were Newars. And Newars are brave.,1
183,real heroes of nepal,1
184,You are doing a very great job brother. Thank you for everything,1
185,Top-notch presentation!,1
186,Part 2 please ,1
187,"It is said that the day they were sentenced to death was doomed. And maybe because of that, Magh 16 is always doomed. Today is Martyrs Day.",1
188,Heartly thank you brother waiting part 2,1
189,"Brother, We want You to Cover the Info about the Huge crash which caused an irrepearable Loss to the victims Family of the crash and How Yeti is trying to Fly over again in the Nepalease Sky without any Fear.",1
190,Great work...,1
191,need part 2 asap,1
192,"Hi, do you think if rana didn’t dictate us for that long we would have a developed in a really good way?! Curious",1
193,Great work,1
194,Great content ever!!!!,1
195,Today again we sacrificed another martyr Prem Prasad Acharya,1
196,Good content ️,1
197,loved the animation on this...  great going THE NEPALI COMMENT,1
198,Omg i want part 2 right nowwwwwww,1
199,Eagerly waiting for next part,1
200,"I hate how the Nepali History has been discrediting the sacrifice of their first ever Nepali martyr ""Lakhan Thapa Magar"". He is rarely even being talked about in the present Nepal, despite being renowned as the first martyr who stood up to Junga Bahadur Rana after retiring from the old Gorkha Paltan.

He was a part of the Nepali soldiers who assisted the British Army to brutally suppress Indian rebels who were fighting for the independence of India. This was around 1857/58 after the Meerut massacre which gave birth to a military revolution against the British colony in India.

All of these incidents led Lakhan Thapa Magar and other revolutionaries to fight against the tyrannical rule of Junga Bahadur Rana in Nepal also. By 1868/69 (1925 BS), Thapa had already been promoted as the captain of the Nepal Army. However, he left his job along with his friend Jai Singh Chumi Magar in order to unite the people against the rule of Jung Bahadur Rana.

With the help of the local people of his birthplace, Thapa built a strong fort there and also built a temple inside the fort. He used to unite the people coming there to worship and make them aware of the arbitrary rule of Junga Bahadur Rana and his anti-public acts.
As per the historian Padam Jung Rana, Thapa had gathered 1,500 people along with weapons and supplies to attack the Rana government. He wanted to end the rule of the Junga Bahadur Rana and to establish democracy in the country.
But, Junga Bahadur Rana got the information of the revolution led by Thapa. Subsequently, Lakhan Thapa and his associates were arrested from Bungkot and brought to Kathmandu. They were tortured all along their way.
And, it was decided that Lakhan Thapa and his associates would be hanged from the tree in front of the Manakamana temple of their fort premises in the presence of the local people at Bungkot, Gorkha. They were charged with treason.

After they did not beg a pardon in front of the Rana government, they were all brought to Gorkha. And, at first, the leader Lakhan Thapa was hanged from the tree in front of Manakamana temple inside his fort on February 14, 1877. It is also said that he has been skinned and hanged. And, after him, all other rebels were hanged.
11 days after his death, Junga Bahadur Rana also died in Borland, Gorkha.

He was the first Nepali to protest against the tyrannical Rana rule. Therefore, he was declared a martyr in 1999 by the Nepal government. And, the government declared him as the first martyr of Nepal on September 20, 2015.

Falgun 2nd (14th February) of every year is declared as 'Sahid Lakhan Thapa diwas' to commemorate his sacrifice for the nation and is declared holiday in some part of province 4 and 5.

 Such parts of the history must not be erased as it is tried to be done pretty much everytime something revolutionary happens.",1
201,Brilliant stuff.. keep going🫡,1
202,Well done ️️,1
203,धेरै राम्रो जानकारी धन्यवाद सम्पूर्ण टिमलाई।,1
204,Eagerly waiting part 2,1
205,The Rana rule was the longest and the  darkest years in Nepal's history for taking this country backwards a hundred years .,1
206,"What I think is they did it for party, sorry to say it was not actually for the country. The party itself was created for becoming more powerful, but these sort of power gain develops country too which was the best part <3",1
207,He told this story in such a intresting way that i hate i watched this video alone. I want to watch the all video on topic. And i will watch this one by one as he publishes and also all of the videos after he completes this topic.,1
208,This should be turned into a manga or comic book like panchatantra !!!,1
209,Can you also make a video about the rise of Jung Bahadur Rana and its events and effects in Nepal!!!!!,1
210,if this video would be 10 hours i will surely  watch this one of best content outcome in nepal,1
211,Thank you so much mero dai!.   I was just waiting for this video.,1
212,Jay Nepal ️,1
213,Awesome work. Nepal ko Johnny Harris,1
214,Thats what is called a content bro....,1
